primary_id,sub_id,Name,Description,required_evidence
5,3.a,"Roles, Responsibilities, and Authorities - Conformity",Top management shall assign responsibility and authority for ensuring that the information security management system conforms to the requirements of this International Standard.,"ISMS roles, responsibilities, and authorities"
5,3.b,"Roles, Responsibilities, and Authorities - Reporting","Top management shall assign the responsibility and authority for reporting on the performance of the information security management system to top management. 
 Note: Top management may also assign responsibilities and authorities for reporting performance of the information security management system within the organization.","ISMS roles, responsibilities, and authorities"
6,"1.1.a, 1.1.b, 1.1.c","Address Risks and Opportunities - Planning For Success, Reduce Undesired Effects, Achieve Continual Improvement","When planning for the information security management system, the organization shall consider the issues referred to in Requirements 4.1 (Understanding the organization and its context) and 4.2 (Understanding the needs and expectations of interested parties), and determine the risks and opportunities that need to be addressed to ensure the information security management system can achieve its intended outcome(s), prevent, or reduce, undesired effects, and c)	achieve continual improvement.",Risk management methodology
6,1.1.d,Address Risks and Opportunities - Plan to Address Risks,"When planning for the information security management system, the organization shall plan actions to address risks and opportunities.",Risk management methodology
6,1.1.e.1,Address Risks and Opportunities - Plan to Integrate Actions,"When planning for the information security management system, the organization shall plan how to integrate and implement the actions into its information security management system processes.",Risk management methodology
6,1.1.e.2,Address Risks and Opportunities - Plan to Evaluate,"When planning for the information security management system, the organization shall plan how to evaluate the effectiveness of these actions.",Risk management methodology
6,"1.2.a.1, 1.2.a.2, 1.2.b, 1.2.c.1, 1.2.c.2",Information Security Risk Assessment - Risk Identification,"The organization shall define and apply an information security risk assessment process that establishes and maintains information security risk criteria that include the risk acceptance criteria, criteria for performing information security risk assessments, ensures that repeated information security risk assessments produce consistent, valid and comparable results, identifies the information security risks associated with the loss of confidentiality, integrity and availability for information within the scope of the information security management system, and identifies risk owners.",Risk management methodology
6,"1.2.d.1, 1.2.d.2, 1.2.d.3",Information Security Risk Assessment - Risk Analysis,"The organization shall define and apply an information security risk assessment process to assess the potential consequences that would result if the identified risks identified were to materialize, assess the realistic likelihood of the occurrence of the risks identified, and the levels of risks.",Risk management methodology
6,1.2.e.1,Information Security Risk Assessment - Compare Results,The organization shall define and apply an information security risk assessment process that compares the results of the risk analysis with the established risk criteria.,Risk management methodology
6,1.2.e.2,Information Security Risk Assessment - Prioritized Treatment,The organization shall define and apply an information security risk process that prioritizes the analyzed risks for risk treatment.,Risk management methodology
6,1.3,Information Security Risk Treatment Process,"The organization shall define and apply an information security risk treatment process. 
 The organization shall retain documented information about the information security risk treatment process. 
 Note: The information security risk treatment process in this International Standard aligns with the principles and generic guidelines provided in ISO 31000",Risk management methodology
6,1.3.a,Information Security Risk Treatment  - Treatment Options,"The organization shall define and apply an information security risk treatment process to select appropriate information security risk treatment options, taking account of the risk assessment results.",Risk management methodology
6,1.3.b,Information Security Risk Treatment - Controls Determination,"The organization shall define and apply an information security risk treatment process to determine all controls that are necessary to implement the information security risk treatment option(s) chosen. 
 Note: Organizations can design controls as required, or identify them from any source.",Risk management methodology
6,1.3.c,Information Security Risk Treatment - Controls Comparison,"The organization shall define and apply an information security risk treatment process to compare the determined controls determined with those in Annex A (ISO 27002), and verify that no necessary controls have been omitted. 
 Note: Annex A contains a comprehensive list of control objectives and controls. Users of this International Standard are directed to Annex A to ensure that no necessary controls are overlooked. 
 Note: Control Objectives are implicitly included in the control chosen. The control objectives and controls listed in Annex A are not exhaustive and additional control objectives and controls may be needed.",Risk management methodology
6,1.3.d,Information Security Risk Treatment - Statement of Applicability,"The organization shall define and apply an information security risk treatment process to produce a Statement of Applicability that contains: 
 - the necessary controls; 
 -  justification for their inclusion; 
 -  whether the necessary controls are implemented or not; and 
 - the justification for excluding any of the Annex A controls.",ISMS Statement of Applicability_EN_V0.1
6,1.3.e,Information Security Risk Treatment - Plan,The organization shall define and apply an information security risk treatment process to formulate an information security risk treatment plan.,Risk management methodology
6,1.3.f,Information Security Risk Treatment - Approval and Acceptance,The organization shall define and apply an information security risk treatment process to obtain risk owners' approval of the information security risk treatment plan and acceptance of the residual information security risks.,Risk management methodology
6,2,Information Security Objectives,"The organization shall establish information security objectives at relevant functions and levels. 
 The organization shall retain documented information on the information security objectives.",ISMS objectives
6,"2.a, 2.b, 2.c, ","Information Security Objectives - Consistent With Policies, Measurable, Take Other Items Into Account","The organizations information security objectives shall be consistent with the information security policy, shall be measurable (if practicable), and shall take into account applicable information security requirements, and results from risk assessments and risk treatments.",ISMS objectives
6,2.d,Information Security Objectives - Communicated,The organizations information security objectives shall be communicated.,ISMS objectives
6,2.e,Information Security Objectives - Updates,The organizations information security objectives shall be updated as appropriate.,ISMS objectives
6,2.f,Information Security Objectives Planning - Tasks,"When planning how to achieve its information security objectives, the organization shall determine what will be done.",ISMS objectives
6,2.g,Information Security Objectives Planning - Resources,"When planning how to achieve its information security objectives, the organization shall determine what resources will be required.",ISMS objectives
6,2.h,Information Security Objectives Planning - Responsibilities,"When planning how to achieve its information security objectives, the organization shall determine who will be responsible.",ISMS objectives
6,2.i,Information Security Objectives Planning - Timeline,"When planning how to achieve its information security objectives, the organization shall determine when it will be completed.",ISMS objectives
6,2.j,Information Security Objectives Planning - Results Evaluation,"When planning how to achieve its information security objectives, the organization shall determine how the results will be evaluated.",ISMS objectives
7,1,Resources,"The organization shall determine and provide the resources needed for the establishment, implementation, maintenance, and continual improvement of the information security management system.",Evidence of resources allocated for the management system
7,2.a,Competence - Workforce Determination,The organization shall determine the necessary competence of person(s) doing work under its control that affects its information security performance.,Competence assessment 
7,2.b,Competence - Appropriate Training and Education,"The organization shall ensure these persons are competent on the basis of appropriate education, training, or experience.",Competence assessment 
7,2.c,Competence - Evaluate Effectiveness,"The organization shall, where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken. 
 Note: Applicable actions may include, for example: the provision of training to, the mentoring of, or the re-assignment of current employees; or the hiring or contracting of competent persons.",Awareness & Training 
7,2.d,Competence - Documentation,The organization shall retain appropriate documented information as evidence of competence.,Awareness & Training 
7,3.a,Awareness - Information Security Policy,Persons doing work under the organization's control shall be aware of the information security policy.,Awareness & Training 
7,3.b,Awareness - Contribution,"Persons doing work under the organization's control shall be aware of their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance.",Awareness & Training 
7,3.c,Awareness - Consequences,Persons doing work under the organization's control shall be aware of the implications of not conforming with the information security management system requirements.,7.3_ISMS Awareness & Training Policy_EN_V0.1
7,4.a,Communication - What,"The organization shall determine the need for internal and external communications relevant to the information security management system. 
 The organization must determine 'what' to communicate.",Communication plan
7,4.b,Communication - When,"The organization shall determine the need for internal and external communications relevant to the information security management system. 
 The organization must determine 'when' to communicate.",Communication plan
7,4.c,Communication - With Whom,"The organization shall determine the need for internal and external communications relevant to the information security management system. 
 The organization must determine 'with whom' to communicate.",Communication plan
7,4.d,Communication - Who,"The organization shall determine the need for internal and external communications relevant to the information security management system. 
 The organization must determine 'who' shall communicate.",Communication plan
7,4.e,Communication - Effected Processes,"The organization shall determine the need for internal and external communications relevant to the information security management system. 
 The organization must determine the processes by which communication shall be effected.",Communication plan
7,5.1.a,Documentation for Information Security Management System - ISO,The organization's information security management system shall include documented information required by this International Standard (ISO 27001).,Document and record control procedure 
7,5.1.b,Documentation For Information Security Management System - Necessary Information,"The organization's information security management system shall include documented information determined by the organization as being necessary for the effectiveness of the information security management system. 
 Note: The extent of documented information for an information security management system can differ from one organization to another due to: 
 1) The size of organization and its type of activities, processes, products and services 
 2) The complexity of processes and their interactions 
 3) The competence of persons",Document and record control procedure 
7,5.2.a,Documented Information Security Management System - Description,"When creating and updating documented information the organization shall ensure appropriate identification and description (e.g. a title, date, author, or reference number).",Document and record control procedure 
7,5.2.b,Documented Information Security Management System - Format,"When creating and updating documented information the organization shall ensure appropriate format (e.g. language, software version, graphics) and media (e.g. paper, electronic)",Document and record control procedure 
7,5.2.c,Documented Information Security Management System - Adequacy,When creating and updating documented information the organization shall ensure appropriate review and approval for suitability and adequacy.,Document and record control procedure 
7,5.3,Control Documented Information,"Documented information required by the information security management system and by this International Standard (ISO 27001) shall be controlled. 
 Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled. 
 Note: Access implies a decision regarding the permission to view the documented information only, or the permission and authority to view and change the documented information, etc.",Document and record control procedure 
7,5.3.a,Control Documented Information - Availability,"Documented information required by the information security management system and by this International Standard (ISO 27001) shall be controlled to ensure its available and suitable for use, where it is needed.",Document and record control procedure 
7,5.3.b,Control Documented Information - Protection,"Documented information required by the information security management system and by this International Standard (ISO 27001) shall be controlled to ensure it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity)",Document and record control procedure 
7,5.3.c,Control Documented Information - Distribution,"For the control of documented information, the organization shall address the distribution, access, retrieval and use.",Document and record control procedure 
7,5.3.d,Control Documented Information - Storage,"For the control of documented information, the organization shall address the storage and preservation, including the preservation of legibility.",Document and record control procedure 
7,5.3.e,Control Documented Information - Change Control,"For the control of documented information, the organization shall address the control of changes (e.g. version control).",Document and record control procedure 
7,5.3.f,Control Documented Information - Retention,"For the control of documented information, the organization shall address the retention and disposition.",Document and record control procedure 
8,1.1,Operational Planning and Control - Implementation,"The organization shall plan, implement and control the process needed to meet information security requirements, and to implement the actions determined in requirement related to actions to address risks and opportunities. The organization shall also implement plans to achieve determined information security objectives.",Document and record control procedure 
8,1.2,Operational Planning and Control - Documentation Retention,The organization shall keep documented information to the extent necessary to have confidence that the processes have been carried out as planned.,Document and record control procedure 
8,1.3,Operational Planning and Control - Changes,"The organization shall control planned changes and review the consequences of unintended changes, taking action to mitigate any adverse effects, as necessary.",Document and record control procedure 
8,1.4,Operational Planning and Control - Outsourcing,The organization shall ensure that outsourced processes are determined and controlled.,Document and record control procedure 
8,2.1,Information Security Risk Assessment - Periodic Evaluation,"The organization shall perform information security risk assessments at planned intervals or when significant changes are proposed or occur, taking account of the criteria established in the risk assessment process.",Document and record control procedure 
8,2.2,Information Security Risk Assessment - Results,The organization shall retain documented information of the results of the information security risk assessments.,Document and record control procedure 
8,3.1,Information Security Risk Treatment - Implementation,The organization shall implement the information security risk treatment plan.,Document and record control procedure 
8,3.2,Information Security Risk Treatment - Documentation Retention,The organization shall retain documented information of the result of the information security risk treatment.,Document and record control procedure 
9,1,Performance Evaluation - Evaluation of Effectiveness,"The organization shall evaluate the information security performance and the effectiveness of the information security management system. 
 The organization shall retain appropriate documented information as evidence of the monitoring and measurement results.",Performance evaluation report 
9,1.a,Performance Monitoring - Scope,"The organization shall determine what needs to be monitored and measured as part of information security performance and the effectiveness of the information security management system review, including information security processes and controls.",Performance evaluation report 
9,1.b,Performance Monitoring - Methods,"The organization shall determine the methods for monitoring, measurement, analysis, and evaluation of the effectiveness of the information security management system, as applicable, to ensure valid results. 
 Note: The methods selected should produce comparable and reproducible results to be considered valid.",Performance evaluation report 
9,1.c,Performance Monitoring - When,The organization shall determine when the monitoring and measurement of the information security management system effectiveness shall be performed.,Performance evaluation report 
9,1.d,Performance Monitoring - Who,The organization shall determine who shall monitor and measure the effectiveness of the information security management system. ,Performance evaluation report 
9,1.e,Performance Monitoring - Review of Results,The organization shall determine when the results from information security management system effectiveness monitoring and measurement shall be analysed and evaluated.,Performance evaluation report 
9,1.f,Performance Monitoring - Reviewer,The organization shall determine who shall analyse and evaluate the results of information security management system performance monitoring.,Performance evaluation report 
9,2.a.1,Internal Audit - Internal Requirements,The organization shall conduct internal audits at planned intervals to provide information on whether the information security management system conforms to the organization's own requirements for its information security management system.,Internal audit procedure 
9,2.a.2,Internal Audit - ISO Requirements,The organization shall conduct internal audits at planned intervals to provide information on whether the information security management system conforms to the requirements of this International Standard (ISO 27001),Internal audit procedure 
9,2.b,Internal Audit - Effectiveness,The organization shall conduct internal audits at planned intervals to provide information on whether the information security management system is effectively implemented and maintained.,Internal audit procedure 
9,2.c,"Internal Audit - Plan, Establish, Implement","The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. The audit programme(s) shall take into consideration the importance of the processes concerned and the results of previous audits.",Internal audit procedure 
9,2.d,Internal Audit - Scope,The organization shall define the audit criteria and scope for each audit.,Internal audit procedure 
9,2.e,Internal Audit - Impartiality,The organization shall select auditors and conduct audits that ensure objectivity and the impartiality of the audit process.,Internal audit procedure 
9,2.f,Internal Audit - Reporting,The organization shall ensure that the results of the audits are reported to relevant management.,Internal audit procedure 
9,2.g,Internal Audit - Documentation,The organization shall retain documented information as evidence of the audit programme(s) and the audit results.,Internal audit procedure 
9,3,Management Review - Information Security Management System,"Top management shall review the organization's information security management system at planned intervals to ensure its continuing suitability, adequacy and effectiveness. 
 The outputs of the management review shall include decisions related to continual improvement opportunities and any needs for changes to the information security management system. 
 The organization shall retain documented information as evidence of the results of management reviews.",Management Review Report
9,3.a,Management Review - Status of Past Actions,The management review shall include consideration of the status of actions from previous management reviews.,Management Review Report
9,3.b,Management Review - Internal and External Issues,The management review shall include consideration of changes in external and internal issues that are relevant to the information security management system.,Management Review Report
9,3.c.1,Management Review - Feedback on Corrective Actions,"The management review shall include consideration of feedback on the information security performance, including trends in nonconformities and corrective actions.",Management Review Report
9,3.c.2,Management Review - Monitoring,"The management review shall include consideration of feedback on the information security performance, including trends in monitoring and measurement results.",Management Review Report
9,3.c.3,Management Review - Audit Results,"The management review shall include consideration of feedback on the information security performance, including trends in audit results.",Management Review Report
9,3.c.4,Management Review - Fulfilment of Security Objectives,"The management review shall include consideration of feedback on the information security performance, including trends in fulfilment of information security objectives.",Management Review Report
9,3.d,Management Review - Feedback,The management review shall include consideration of feedback from interested parties.,Management Review Report
9,3.e,Management Review - Risk Assessment Results,The management review shall include consideration of results of risk assessment and status of risk treatment plan.,Management Review Report
9,3.f,Management Review - Continual Improvement,The management review shall include consideration of opportunities for continual improvement.,Management Review Report
10,1.a.1,Nonconformity - Corrective Action,"When nonconformity occurs, the organization shall react to the nonconformity, and as applicable take action to control and correct it.",Corrective action report
10,1.a.2,Nonconformity - Consequences,"When nonconformity occurs, the organization shall react to the nonconformity and as applicable deal with the consequences.",Corrective action report
10,1.b.1,Nonconformity - Review,"When a nonconformity occurs, the organization shall evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur or occur elsewhere by reviewing the nonconformity.",Corrective action report
10,1.b.2,Nonconformity - Root Cause,"When a nonconformity occurs, the organization shall evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur or occur elsewhere by determining the causes of the nonconformity.",Corrective action report
10,1.b.3,Nonconformity - Potential to Recur,"When a nonconformity occurs, the organization shall evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur or occur elsewhere by determining if similar nonconformities exist, or could potentially occur.",Corrective action report
10,1.c,Nonconformity - Corrective Action,"When a nonconformity occurs, the organization shall implement any action needed to correct the nonconformity.",Corrective action report
10,1.d,Nonconformity - Review Corrective Action,"When a nonconformity occurs, the organization shall review the effectiveness of any corrective action taken.",Corrective action report
10,1.e,Nonconformity - Changes to Information Security Management System,"When a nonconformity occurs, the organization shall make changes to the information security management system, if necessary. 
 Corrective actions shall be appropriate to the effects of the nonconformities encountered.",Corrective action report
10,1.f,Nonconformity - Documentation,"When a nonconformity occurs, the organization shall retain documented information as evidence of the nature of the nonconformities and any subsequent actions taken.",Corrective action report
10,1.g,Nonconformity - Results,"When a nonconformity occurs, the organization shall retain documented information as evidence of the results of any corrective action.",Corrective action report
10,2,Continual Improvement,"The organization shall continually improve the suitability, adequacy and effectiveness of the information security management system.",Continual improvement plan
A,5.1.1,Policies for information security,"A set of policies for information security should be defined, approved by management, published and communicated to employees and relevant external parties. 
 
 Implementation Guidance 
 At the highest level, organizations should define an "information security policy" which is approved by management and which sets out the organization's approach to managing its information security objectives. 
 
 Information security policies should address requirements created by: 
 a) business strategy; 
 b) regulations, legislation and contracts; 
 c) the current and projected information security threat environment. 
 
 The information security policy should contain statements concerning: 
 a) definition of information security, objectives and principles to guide all activities relating to information security; 
 b) assignment of general and specific responsibilities for information security management to defined roles; 
 c) processes for handling deviations and exceptions. 
 
 At a lower level, the information security policy should be supported by topic-specific policies, which further mandate the implementation of information security controls and are typically structured to address the needs of certain target groups within an organization or to cover certain topics. 
 a) access control; 
 b) information classification and handling; 
 c) physical and environmental security; 
 d) end user oriented topics such as: 
 1) acceptable use of assets; 
 2) clear desk and clear screen; 
 3) information transfer; 
 4) mobile devices and teleworking; 
 5) restrictions on software installations and use; 
 e) backup; 
 f) information transfer; 
 g) protection from malware;  
h) management of technical vulnerabilities; 
 i) cryptographic controls; 
 j) communications security; 
k) privacy and protection of personally identifiable information;
l) supplier relationships. 
 
 These policies should be communicated to employees and relevant external parties in a form that is relevant, accessible and understandable to the intended reader, e.g. in the context of an "information security awareness, education and training programme". 
 
 Other information 
 The need for internal policies for information security varies across organizations. Internal policies are especially useful in larger and more complex organizations where those defining and approving the expected levels of control are segregated from those implementing the controls or in situations where a policy applies to many different people or functions in the organization. Policies for information security can be issued in a single "information security policy" document or as a set of individual but related documents. 
 
 If any of the information security policies are distributed outside the organization, care should be taken not to disclose confidential information. 
 
 Some organizations use other terms for these policy documents, such as "Standards", "Directives" or "Rules".",Information security policies. 
A,5.1.2,Review of the policies for information security,"The policies for information security should be reviewed at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness. 
 
Implementation Guidance 
Each policy should have an owner who has approved management responsibility for the development, review and evaluation of the policies. The review should include assessing opportunities for improvement of the organization's policies and approach to managing information security in response to changes to the organizational environment, business circumstances, legal conditions or technical environment. The review of policies for information security should take the results of management reviews into account. Management approval for a revised policy should be obtained.",Evidence of review cycle followed for information security policies and procedures. 
A,6.1.1,Information security roles and responsibilities,"All information security responsibilities should be defined and allocated. 
 
Implementation Guidance 
Allocation of information security responsibilities should be done in accordance with the information security policies. Responsibilities for the protection of individual assets and for carrying out specific information security processes should be identified. Responsibilities for information security risk management activities and in particular for acceptance of residual risks should be defined. These responsibilities should be supplemented, where necessary, with more detailed guidance for specific sites and information processing facilities. Local responsibilities for the protection of assets and for carrying out specific security processes should be defined. 
 
 Individuals with allocated information security responsibilities may delegate security tasks to others. Nevertheless they remain accountable and should determine that any delegated tasks have been correctly performed. 
 
 Areas for which individuals are responsible should be stated. In particular the following should take place: 
 a) the assets and information security processes should be identified and defined; 
 b) the entity responsible for each asset or information security process should be assigned and the details of this responsibility should be documented; 
 c) authorization levels should be defined and documented; 
 d) to be able to fulfil responsibilities in the information security area the appointed individuals should be competent in the area and be given opportunities to keep up to date with developments; 
 e) coordination and oversight of information security aspects of supplier relationships should be identified and documented. 
 
 Other information 
 Many organizations appoint an information security manager to take overall responsibility for the development and implementation of information security and to support the identification of controls. 
 
 However, responsibility for resourcing and implementing the controls will often remain with individual managers. One common practice is to appoint an owner for each asset who then becomes responsible for its day-to-day protection.",Roles and responsibilities document.
A,6.1.2,Segregation of duties,"Conflicting duties and areas of responsibility should be segregated to reduce opportunities for unauthorized or unintentional modification or misuse of the organization's assets. 
 
 Implementation Guidance 
 Care should be taken that no single person can access, modify or use assets without authorization or detection. The initiation of an event should be separated from its authorization. The possibility of collusion should be considered in designing the controls. 
 
 Small organizations may find segregation of duties difficult to achieve, but the principle should be applied as far as is possible and practicable. Whenever it is difficult to segregate, other controls such as monitoring of activities, audit trails and management supervision should be considered. 
 
 Other information 
 Segregation of duties is a method for reducing the risk of accidental or deliberate misuse of an organization's assets.",Evidence of segregation of duties in job descriptions or organization chart. 
A,6.1.3,Contact with authorities,"Appropriate contacts with relevant authorities should be maintained. 
 
 Implementation Guidance 
 Organizations should have procedures in place that specify when and by whom authorities (e.g. law enforcement, regulatory bodies, supervisory authorities) should be contacted and how identified information security incidents should be reported in a timely manner (e.g. if it is suspected that laws may have been broken). 
 
 Other information 
 Organizations under attack from the Internet may need authorities to take action against the attack source. 
 
 Maintaining such contacts may be a requirement to support information security incident management or the business continuity and contingency planning process. Contacts with regulatory bodies are also useful to anticipate and prepare for upcoming changes in laws or regulations, which have to be implemented by the organization. Contacts with other authorities include utilities, emergency services, electricity suppliers and health and safety, e.g. fire departments (in connection with business continuity), telecommunication providers (in connection with line routing and availability) and water suppliers (in connection with cooling facilities for equipment).",Contact list for authorities.
A,6.1.4,Contact with special interest groups,"Appropriate contacts with special interest groups or other specialist security forums and professional associations should be maintained. 
 
 Implementation Guidance 
 Membership in special interest groups or forums should be considered as a means to: 
 a) improve knowledge about best practices and stay up to date with relevant security information; 
 b) ensure the understanding of the information security environment is current and complete; 
 c) receive early warnings of alerts, advisories and patches pertaining to attacks and vulnerabilities; 
 d) gain access to specialist information security advice; 
 e) share and exchange information about new technologies, products, threats or vulnerabilities; 
 f) provide suitable liaison points when dealing with information security incidents. 
 
 Other information 
 Information sharing agreements can be established to improve cooperation and coordination of security issues. Such agreements should identify requirements for the protection of confidential information.",Contact list for special interest groups.
A,6.1.5,Information security in project management,"Information security should be addressed in project management regardless of the type of the project. 
 
 Implementation Guidance 
 Information security should be integrated into the organization's project management method(s) to ensure that information security risks are identified and addressed as part of a project. This applies generally to any project regardless of its character, e.g. a project for a core business process, IT, facility management and other supporting processes. The project management methods in use should require that: 
 a) information security objectives are included in project objectives; 
 b) an information security risk assessment is conducted at an early stage of the project to identify necessary controls; 
 c) information security is part of all phases of the applied project methodology. 
 
 Information security implications should be addressed and reviewed regularly in all projects. Responsibilities for information security should be defined and allocated to specified roles defined in the project management methods.",Procedure for including information security in project management and sample of a project with identified information security requirements. 
A,6.2.1,Mobile Device Policy,"A policy and supporting measures should be adopted to manage the risks introduced by using mobile devices. 
 
 Implementation Guidance 
 When using mobile devices, special care should be taken to ensure that business information is not compromised. The mobile device policy should take into account the risks of working with mobile devices in unprotected environments. 
 
 The mobile device policy should consider: 
 a) registration of mobile devices; 
 b) requirements for physical protection; 
 c) restriction of software installation; 
 d) requirements for mobile device software versions and for applying patches; e) restriction of connection to information services; 
 e) restriction of connection to information services; 
 f) access controls; 
 g) cryptographic techniques; 
 h) malware protection; 
 i) remote disabling, erasure or lockout; 
 j) backups; 
 k) usage of web services and web apps. 
 
 Care should be taken when using mobile devices in public places, meeting rooms and other unprotected areas. Protection should be in place to avoid the unauthorized access to or disclosure of the information stored and processed by these devices, e.g. using cryptographic techniques and enforcing use of secret authentication information. 
 
 Mobile devices should also be physically protected against theft especially when left, for example, in cars and other forms of transport, hotel rooms, conference centres and meeting places. A specific procedure taking into account legal, insurance and other security requirements of the organization should be established for cases of theft or loss of mobile devices. Devices carrying important, sensitive or critical business information should not be left unattended and, where possible, should be physically locked away, or special locks should be used to secure the devices. 
 
 Training should be arranged for personnel using mobile devices to raise their awareness of the additional risks resulting from this way of working and the controls that should be implemented. 
 
 Where the mobile device policy allows the use of privately owned mobile devices, the policy and related security measures should also consider: 
 a) separation of private and business use of the devices, including using software to support such separation and protect business data on a private device; 
 b) providing access to business information only after users have signed an end user agreement acknowledging their duties (physical protection, software updating, etc.), waiving ownership of business data, allowing remote wiping of data by the organization in case of theft or loss of the device or when no longer authorized to use the service. This policy needs to take account of privacy legislation. 
 
 Other information 
 Mobile device wireless connections are similar to other types of network connection, but have important differences that should be considered when identifying controls. Typical differences are: 
 a) some wireless security protocols are immature and have known weaknesses; 
 b) information stored on mobile devices may not be backed-up because of limited network bandwidth or because mobile devices may not be connected at the times when backups are scheduled. 
 
 Mobile devices generally share common functions, e.g. networking, internet access, e-mail and file handling, with fixed use devices. Information security controls for the mobile devices generally consist of those adopted in the fixed use devices and those to address threats raised by their usage outside the organization's premises.",Mobile device policy including rules for bring your own device (BYOD).
