primary_id,sub_id,Name,Type,Affected property(ies),Risk,Treatment
M1,2.2.6,Supporting policies for information security - Top management commitment ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of top management in supporting information security polices. ,Ensure that the set of supporting information security polices shall include commitment of the top management.
M1,2.2.7,Supporting policies for information security - Available as a document ,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of documentation of set of supporting information security polices.,Ensure that the set of supporting information security polices shall be documented.
M1,2.2.8,"Supporting policies for information security - Maintenance, review, and update",Information Security Management and Governance,"Confidentiality 
","Unintentional data leakage due to lack maintenance, review and update of supporting information security polices. ","Ensure that the set of supporting information security polices shall be maintained, reviewed and updated at planned intervals or if significant changes occur."
M1,3.1.1,Authorization process for information systems - Define and implement,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Asset loss due to lack of implementation a management authorization process for new information systems.,Ensure that the entity shall define and implement a management authorization process for new information systems.
M1,3.1.2,Authorization process for information systems - Regulate,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of entity regulation of the use of personal information systems for processing business information.,Ensure that the entity shall regulate the use of personal information systems for processing business information.
M1,3.2.1,Confidentiality agreements - Define a template ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of non disclosure agreement to legally protect confidential information and ownership of information.,Ensure that the entity shall define a non-disclosure agreement (nda) template to be used to legally protect confidential information and ownership of information.
M1,3.2.2,Confidentiality agreements - Information classification process,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of an information classification process to identify which information is subject to the terms of the nda.,Ensure that the entity shall have an information classification process in place to identify which information is subject to the terms of the nda.
M1,3.2.3,Confidentiality agreements - Track all signed NDAs,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of a track record of all signed ndas.,Ensure that the entity shall keep a track record of all signed ndas and perform a periodical review.
M1,3.3.1,Contact with authorities - Identify relevant authorities ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Breach of legislation due to lack of identification of all relevant national authorities, including sector specific regulators.","Ensure that the entity shall identify all relevant national authorities, including sector specific regulators."
M1,3.3.2,Contact with authorities - Identify a point of contact,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Cyber attack due to lack of identification of a point of contact and communicate his/her name to the identified authorities, if required or allowed.","Ensure that the entity shall identify a point of contact in the entity and communicate his/her name to the identified authorities, if required or allowed."
M1,3.3.3,Contact with authorities - Establish a policy,Information Security Management and Governance,"Confidentiality 
",Unintentional data leakage due to lack of establishment of a policy to determine when and how to engage relevant authorities.,Ensure that the entity shall establish a policy to determine when and how to engage  relevant authorities.
M1,3.4.1,Contact with special interest groups - Identify interest groups,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of identification of all relevant national and international interest groups or working groups or other specialist security forums and professional associations.,Ensure that the entity shall identify all relevant national and international interest groups or working groups or other specialist security forums and professional associations.
M1,3.4.2,Contact with special interest groups - Allocate resources ,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of allocation of the right resources in order to properly support the group.,Ensure that the entity shall allocate the right resources in order to properly support the group.
M1,3.4.3,Contact with special interest groups - Define what is allowed to share,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of defining what participating employees are allowed to share.,Ensure that the entity shall define what participating employees are allowed to share.
M1,3.4.4,Contact with special interest groups - Interest group sharing rules,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of permissions for sharing and circulation of information inside the entity.,"Ensure that the entity shall allow sharing and circulation of information inside the entity, as permitted by interest group rules."
M1,3.5.1,Identification of risks related to external parties - Identify risks ,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of identification of risks to its information and information systems and implement the appropriate controls before granting access to any external party.,Ensure that the entity shall identify risks to its information and information systems and implement the appropriate controls before granting access to any external party.
M1,3.5.2,Identification of risks related to external parties - Access policy,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Damage caused by third parties due to lack of external party access policy.,Ensure that the entity shall define an external party access policy.
M1,3.5.3,Identification of risks related to external parties - Adopt controls ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Damage caused by third parties due to lack of identification and adoption of proper controls to limit physical and logical access to information assets and entity information systems.,Ensure that the entity shall identify and adopt proper controls to limit physical and logical access to information assets and entity information systems.
M1,3.5.4,Identification of risks related to external parties - Monitor access ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Damage caused by third parties due to lack of monitoring external party access to entity information and information systems.,Ensure that the entity shall monitor external party access to entity information and entity information systems.
M1,3.6.1,Addressing security when dealing with customers - Compliance ,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of compliance with the entity’s information security policy and security requirements by customer accessing entity information and information systems.,Ensure that the entity shall make sure that any customer accessing entity information and information systems are compliant with the entity’s information security policy and security requirements.
M1,3.6.2,Addressing security when dealing with customers - Monitor access,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of monitoring any customer access and verifying compliance to agreed access control policy.,Ensure that the entity shall monitor any customer access and verify compliance to agreed access control policy.
M1,3.7.1,Addressing security in third-party agreements - Requirements in contracts,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Damage caused by third parties due to lack of verification that the contract or agreement with third parties addresses all aspects of the entity’s information security policy regarding accessing, processing, communicating or managing the entity’s information or information systems, or adding products or services to information systems.","Ensure that the entity shall verify that any contract or agreement with third parties addresses all aspects of the entity’s information security policy regarding accessing, processing, communicating or managing the entity’s information or information systems, or adding products or services to information systems."
M1,3.7.2,Addressing security in third-party agreements - Controls in contracts ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of proper controls in the contract to verify compliance with the agreed security objectives. ,Ensure that the entity shall make sure that proper controls are introduced in the contract in order to verify compliance with the agreed security objectives.
M1,3.7.3,Addressing security in third-party agreements - Audit ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Damage caused by third parties due to lack of audit of third parties services and infrastructures.,Ensure that the entity shall perform audit of third parties services and infrastructures to verify compliance with agreed security objectives.
M1,4.1.1,Resources - Adequate number of resources,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",User/human error due to lack of sufficient amount of human and financial resources for the work to be carried out for information security. ,Ensure that the amount of human and financial resources provided shall be adequate for the work to be carried out for information security.
M1,4.1.2,Resources - Competency requirements ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",User/human error due to lack of determining the necessary competence of person(s) doing work under its control that affects its information security performance.,Ensure that the entity shall determine the necessary competence of person(s) doing work under its control that affects its information security performance.
M1,4.1.3,Resources - Competency assessment ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","User/human error due to lack of competency of persons on the basis of appropriate education, training, or experience.","Ensure that the entity shall ensure that the persons are competent on the basis of appropriate education, training, or experience."
M1,4.1.4,Resources - Competency improvement ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","User/human error due to lack of taking actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken.","Ensure that the entity shall take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken."
M1,4.1.5,Resources - Evidence of competence ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of retaining appropriate documented information as evidence of competence.,Ensure that the entity shall retain appropriate documented information as evidence of competence.
M1,4.2.1,Internal and external communication - Communication plan,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of effective communication plan. ,Ensure that the entity shall determine:       a. on what to communicate       b. when to communicate       c. with whom to communicate       d. who shall communicate       e. the processes by which communication shall be effected.
M1,4.2.2,Internal and external communication - Communication with UAE government entities ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of adequate communication with the designated uae government entities.,Ensure that the entity shall ensure that adequate communication can be maintained with the designated uae government entities.
M1,4.2.3,Internal and external communication - Available as a document ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of communication plan.,Ensure that the entity shall document the communication plan.
M1,4.3.1,Documentation - Approval of documents ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of approval of documents prior to issue.,Ensure that documents are approved prior to issue.
M1,4.3.2,Documentation - Review of documents ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack caused by outdated documents due to lack of review and update of documents.,Ensure that documents are reviewed and updated as necessary.
M1,4.3.3,Documentation - Version control,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of identification of changes and the current revision status of documents.,Ensure that changes and the current revision status of documents are identified.
M1,4.3.4,Documentation - Clear and identifiable ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of legible and readily identifiable documents.,Ensure that documents remain legible and readily identifiable
M1,4.3.5,Documentation - Available ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack caused by ineffective information security management system due to lack of availability of documents to those who need them.,"Ensure that documents are available to those who need them, are transferred, and stored in accordance with the procedures applicable to their classification."
M1,4.3.6,Documentation - Disposal,Information Security Management and Governance,"Confidentiality 
",Data leakage due to lack of disposal of documents in accordance with the procedures applicable to their classification.,Ensure that documents are disposed of in accordance with the procedures applicable to their classification.
M1,4.3.7,Documentation - External Origin,Information Security Management and Governance,"Confidentiality 
Integrity 
 ",Damage caused by a third party due to lack of identification of documents of external origin.,Ensure that documents of external origin are identified.
M1,4.3.8,Documentation - Distribution,Information Security Management and Governance,"Confidentiality 
",Data leakage lack of controlled distribution of documents.,Ensure that the distribution of documents is controlled.
M1,4.3.9,Documentation - Update,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack caused by obsolete documents due to lack of availability of updated date versions.,"Ensure that the unintended use of obsolete documents is prevented, and that up to date versions are available."
M1,4.3.10,Documentation - Retention,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of suitable identification of documents if they are retained for any purpose.,Ensure that suitable identification is applied to documents if they are retained for any purpose.
M1,4.3.11,Documentation - Reference to regulation,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of alignment of document control/documents management with the regulatory requirements. ,Ensure that the entity shall document the compliance with the “mandatory” controls in a way that allows unique reference to the requirements of regulatory requirements.
M2,1.1.1,Information security risk management policy - TRA's Issuances ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of using relevant tra’s issuances in information security risk management policy.,Ensure that the information security risk management policy shall take into account relevant tra’s issuances in regard to risk management.
M2,1.1.2,Information security risk management policy - Documented and approved ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of approval of information security risk management policy.,Ensure that the information security risk management policy shall be documented and formally approved.
M2,1.1.3,Information security risk management policy - Address scope of services and functions ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of addressing the purpose and scope of critical services and their supporting functions in information security risk management policy.,Ensure that the information security risk management policy addresses the purpose and scope of critical services and their supporting functions.
M2,1.1.4,Information security risk management policy - Information asset categorization,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Critical asset loss due to lack of categorization of information asset based on its criticality.,Ensure that the information security risk management policy shall categorize information asset based on its criticality.
M2,1.1.5,Information security risk management policy - Roles and responsibilities ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of documenting roles and responsibilities of the risk assessment team.,Ensure that the information security risk management policy shall address roles and responsibilities of the risk assessment team involved.
M2,1.1.6,Information security risk management policy - Risk acceptance criteria,Information Security Management and Governance,"Confidentiality 
","Data leakage due to lack of including information security basic criteria, including the risk acceptance criteria, impact criteria, and risk evaluation criteria in the information security risk management policy.","Ensure that the information security risk management policy shall establish and maintain information security basic criteria, including the risk acceptance criteria, impact criteria, and risk evaluation criteria."
M2,1.1.7,Information security risk management policy - Risk treatment strategy ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of risk treatment strategy in the information security risk management policy.,Ensure that the information security risk management policy shall contain a risk treatment strategy.
M2,1.1.8,Information security risk management policy - Risk monitoring and review strategy,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of monitoring and review strategy in information security risk management policy .,Ensure that the information security risk management policy shall contain a risk monitoring and review strategy.
M2,1.1.9,"Information security risk management policy - Criteria for performing, review and update",Information Security Management and Governance,"Confidentiality 
","Data leakage caused by ineffective information security management system due to lack of determining the criteria for performing, reviewing and updating information security risk assessments.","Ensure that the information security risk management policy shall determine the criteria for performing, reviewing and updating information security risk assessments."
M2,1.1.10,"Information security risk management policy - Consistent, valid and comparable",Information Security Management and Governance,"Confidentiality 
","Data leakage caused by ineffective information security management system due to lack of repeated information security risk assessments producing consistent, valid and comparable results.","Ensure that the information security risk management policy shall produce consistent, valid and comparable results for repeated information security risk assessments."
M2,2.1.1,Information security risk identification - Risks associated with CIA,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Cyber attack due to lack of identification of risks associated with the loss of confidentiality, integrity and availability for its information.","Ensure that the entity shall apply the information security risk assessment process to identify risks associated with the loss of confidentiality, integrity and availability for its information by:  • define the scope of the risk assessment exercise  • identify critical business functions  • identify critical information systems supporting business critical functions within the scope and boundary of the risk assessment  • identifying vulnerabilities related to the information and information systems.   • identify existing information security controls  • identifying threats and threat sources"
M2,2.1.2,Information security risk identification - Identify risk owners ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of identification of the risk owners.,Ensure that the entity shall identify the risk owners.
M2,2.1.3,Information security risk identification - Document risk identification results ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of documentation of the results of the risk identification.,Ensure that the entity shall document the results of the risk identification.
M2,2.2.1,Information security risk analysis - Assess potential consequences,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Cyber attack due to lack of assessment of the potential consequences that would result if the identified risks were to materialize by assessing the consequences of losses of confidentiality, integrity or availability.","Ensure that the entity shall assess the potential consequences that would result if the identified risks were to materialize by assessing the consequences of losses of confidentiality, integrity or availability."
M2,2.2.2,Information security risk analysis - Assess likelihood,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Cyber attack due to lack of assessment of the realistic likelihood of the occurrence of the identified risks based on the existing controls, identified vulnerabilities and threats.","Ensure that the entity shall assess the realistic likelihood of the occurrence of the identified risks based on the existing controls, identified vulnerabilities and threats."
M2,2.2.3,Information security risk analysis - Determine the level of risks,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of determining the levels of risk.,Ensure that the entity shall determine the levels of risk.
M2,2.2.4,Information security risk analysis - Document risk analysis results,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of documentation of the results of the risk analysis.,Ensure that the entity shall document the results of the risk analysis.
M2,2.3.1,Information security risk evaluation - Compare risks with criteria,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of comparison of the analyzed risks with the risk criteria established in the information security risk management policy.,Ensure that the entity shall compare the analyzed risks with the risk criteria established in the information security risk management policy.
M2,2.3.2,Information security risk evaluation - Priorities for treatment ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of prioritisation for treatment of the identified risks.,Ensure that the entity shall establish priorities for treatment of the identified risks.
M2,2.3.3,Information security risk evaluation - Document results ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of documentation of the results of the risk evaluation and sharing with national and sector authorities.,"Ensure that the entity shall document the results of the risk evaluation and share with national and sector authorities, as required."
M2,3.1.1,Information security risk treatment options - Consider treatment options ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of considering the the uae ia suggested risk treatment options.,Ensure that the entity shall consider the following risk treatment options and select one or more of them for each of the risks that have been assessed:  • risk reduction – reducing the risk by applying security controls  • risk retention – accepting the risk based on the entity’s risk  accepting criteria established on the information management  risk policy   • risk avoidance – avoiding the activity or condition causing the risk  • risk transfer – transferring the risk to another party
M2,3.1.2,Information security risk treatment options - Success of chosen option,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of assessment of the risk treatment chosen to ensure that the selection of risk treatment options is successful. ,"Ensure that the entity shall assess the risk treatment chosen to ensure that the selection of risk treatment options is successful by:  • deciding whether residual risk levels are tolerable  • if not tolerable, generating a new risk treatment  • assessing the effectiveness of that treatment "
M2,3.2.1,Identification of controls - Control consideration,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of considering the controls included in the regulatory standards as a starting point for the control identification.,Ensure that the entity shall consider the controls included in these standards as a starting point for the control identification.
M2,3.2.2,Identification of controls - Produce SOA,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to overlooking controls while producing the statement of applicability.,Ensure that the entity shall ensure that no controls are overlooked by producing the statement of applicability.
M2,3.2.3,Identification of controls - Identify additional controls,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of identification of controls in addition to the controls suggested in regulatory standard(s) that are specific to the entity.,Ensure that the entity shall identify controls in addition to the controls suggested in this standard that are specific to the entity.
M2,3.2.4,Identification of controls - Take into account risk acceptance criteria,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Breach of legislation due to lack of considering the criteria for accepting risks as well as legal, regulatory and contractual requirements when making the control selection.","Ensure that the entity shall take account of the criteria for accepting risks as well as legal, regulatory and contractual requirements when making the control selection."
M2,3.3.1,Risk treatment plan - Requirements to be addressed in the plan,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of an effective risk treatment plan.,Ensure that the risk treatment plan shall identify:  a. appropriate management actions  b. resources required  c. responsibilities and priorities for managing information security risks  d. target dates for implementation of the identified controls
M2,3.3.2,Risk treatment plan - Plan to be documented,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Cyber attack due to lack of documentation of effective risk treatment plan.,Ensure that the entity shall document the risk treatment plan.
M2,3.4.1,Statement of applicability - List of controls ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of documentation of a statement of applicability that contains the controls that have been identified as necessary.,Ensure that the entity shall produce and document a statement of applicability  that contains the controls that have been identified as necessary.
M2,3.4.2,Statement of applicability - Reasons for identifying these controls ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of documentation of a statement of applicability that contains reasons for identification of these controls.,Ensure that the entity shall produce and document a statement of applicability  that contains reasons for identification of these controls.
M2,3.4.3,Statement of applicability - Implementation status ,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of documentation of a statement of applicability that contains the current status of implementation.,Ensure that the entity shall produce and document a statement of applicability  that contains their current status of implementation.
M2,3.4.4,Statement of applicability - Justification for exclusion,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ",Breach of legislation due to lack of documentation of a statement of applicability that contains justification for exclusion of any of the “risk-based applicable” controls contained in regulatory standard(s).,Ensure that the entity shall produce and document a statement of applicability  that contains justification for exclusion of any of the “risk-based applicable” controls contained in these standards.
M2,3.5.1,Information security objectives - SMART Objectives ,Information Security Management and Governance,"Confidentiality 
",Data leakage caused by ineffective information security management system due to lack of documenting all requirements of information security objectives.,"Ensure that the information security objectives shall:       a. be consistent with the information security policy       b. be measurable (if practicable)       c. take into account applicable information security requirements, and risk assessment and treatment results       d. be communicated within the entity       e. be updated as appropriate       f. be documented."
M2,4.1.1,Information security risk assessment review and update - Changes to be accounted,Information Security Management and Governance,"Confidentiality 
Integrity 
Availability ","Breach of legislation due to lack of taking account of changes to the legal or regulatory environment, changed contractual obligations, and changes in social climate in risk monitoring and review processes.","Ensure that the entity’s monitoring and review processes shall encompass all aspects of the risk management process and shall take account of changes in:       a. the entity itself       b. technology used       c. business objectives and processes       d. risk criteria and the risk assessment process       e. assets and consequences of losses of confidentiality, integrity  or availability       f. identified threats;       g. identified vulnerabilities       h. effectiveness of the implemented controls       i. external events, such as changes to the legal or regulatory environment, changed contractual obligations, and changes in social climate."
